"country","title","total_revenue"
"Australia","Valentine Vanishing","12.90"
"Canada","Excitement Eve","37.91"
"Australia","Vanishing Rocky","59.88"
"Australia","Sensibility Rear","52.90"
"Australia","Hysterical Grail","45.92"
"Australia","Bedazzled Married","7.94"
"Australia","Birds Perdition","41.93"
"Canada","Lonely Elephant","65.87"
"Australia","Hyde Doctor","43.89"
"Australia","Carrie Bunch","11.92"
"Australia","Magnolia Forrester","13.95"
"Canada","Edge Kissing","79.87"
"Canada","Wedding Apollo","18.93"
"Australia","Pizza Jumanji","25.94"
"Canada","Academy Dinosaur","18.89"
"Canada","Torque Bound","80.88"
"Canada","Robbers Joon","36.89"
"Australia","Telegraph Voyage","93.89"
"Canada","Moon Bunch","18.86"
"Australia","Canyon Stock","5.94"
"Canada","Bound Cheaper","23.90"
"Australia","Bugsy Song","45.91"
"Australia","Greatest North","56.86"
"Canada","Smile Earring","58.90"
"Australia","Temple Attraction","57.90"
"Canada","Escape Metropolis","26.92"
"Australia","Fiction Christmas","38.88"
"Australia","Sabrina Midnight","59.90"
"Australia","Valley Packer","27.95"
"Canada","Chill Luck","18.87"
"Canada","Reef Salute","5.95"
"Canada","Baked Cleopatra","39.92"
"Canada","Badman Dawn","30.91"
"Canada","Maguire Apache","33.91"
"Canada","Clue Grail","40.93"
"Canada","Pulp Beverly","55.86"
"Canada","Sea Virgin","50.89"
"Canada","Mile Mulan","33.89"
"Canada","Kick Savannah","18.93"
"Australia","Eagles Panky","35.95"
"Canada","Simon North","18.94"
"Australia","Daisy Menagerie","85.86"
"Australia","Fury Murder","21.93"
"Canada","Crow Grease","6.94"
"Canada","Egg Igby","39.92"
"Canada","Chamber Italian","19.96"
"Canada","Ghost Groundhog","62.89"
"Australia","Ace Goldfinger","52.93"
"Australia","Excitement Eve","23.89"
"Canada","Crusade Honey","44.93"
"Canada","Stepmom Dream","60.88"
"Australia","Fight Jawbreaker","31.88"
"Canada","Rush Goodfellas","37.87"
"Australia","Metal Armageddon","58.86"
"Canada","Doors President","45.94"
"Canada","Side Ark","16.94"
"Canada","Minority Kiss","27.89"
"Canada","Motions Details","12.92"
"Canada","Slums Duck","25.87"
"Australia","Mission Zoolander","39.94"
"Australia","Arizona Bang","47.90"
"Canada","Beneath Rush","16.90"
"Australia","Watch Tracy","25.90"
"Canada","Yentl Idaho","84.85"
"Canada","Head Stranger","83.88"
"Australia","Hellfighters Sierra","47.90"
"Australia","Shanghai Tycoon","17.94"
"Australia","Velvet Terminator","49.92"
"Canada","Pride Alamo","4.95"
"Australia","Slums Duck","22.91"
"Canada","Evolution Alter","26.88"
"Canada","Ridgemont Submarine","56.87"
"Australia","Chisum Behavior","50.90"
"Canada","United Pilot","20.93"
"Canada","Timberland Sky","37.90"
"Australia","Weekend Personal","25.94"
"Canada","Mockingbird Hollywood","26.88"
"Australia","Dragonfly Strangers","48.92"
"Canada","Wisdom Worker","29.91"
