"date","country","total_revenue"
"2007-04-08","Malawi","0.99"
"2007-04-10","Estonia","5.98"
"2007-03-18","Germany","17.94"
"2007-04-11","Estonia","2.99"
"2007-04-08","Anguilla","0.99"
"2007-04-26","United Arab Emirates","5.98"
"2007-02-18","Taiwan","14.96"
"2007-02-19","Philippines","44.90"
"2007-02-20","Turkmenistan","3.99"
"2007-04-07","Sri Lanka","3.99"
"2007-02-15","Runion","8.98"
"2007-04-27","Madagascar","4.99"
"2007-04-06","Sweden","7.98"
"2007-04-10","Chile","17.94"
"2007-04-08","Malaysia","1.99"
"2007-02-20","Indonesia","42.93"
"2007-03-21","Malawi","8.98"
"2007-04-06","Egypt","14.97"
"2007-04-06","Philippines","44.85"
"2007-04-12","Saudi Arabia","18.96"
"2007-03-17","Tanzania","31.93"
"2007-02-20","Mexico","32.90"
"2007-04-27","United States","153.64"
"2007-04-11","United States","135.74"
"2007-04-30","Bahrain","5.98"
"2007-02-20","Virgin Islands, U.S.","7.99"
"2007-04-11","Greece","8.97"
"2007-04-28","Myanmar","9.97"
"2007-02-20","Taiwan","22.95"
"2007-03-18","Afghanistan","2.99"
"2007-04-30","Anguilla","13.96"
"2007-03-20","Madagascar","5.99"
"2007-04-08","Brunei","4.99"
"2007-04-29","Belarus","6.98"
"2007-04-07","French Polynesia","3.99"
"2007-04-29","Hungary","3.98"
"2007-03-02","French Guiana","19.97"
"2007-03-22","Spain","20.97"
"2007-03-22","Sudan","9.98"
"2007-02-17","Liechtenstein","6.98"
"2007-02-15","Kazakstan","0.99"
"2007-04-08","Kenya","6.99"
"2007-03-16","Belarus","7.99"
"2007-04-08","Estonia","6.99"
"2007-02-18","Netherlands","7.98"
"2007-04-06","Thailand","8.97"
"2007-03-17","Madagascar","10.98"
"2007-02-20","Kuwait","11.98"
"2007-02-21","Algeria","4.99"
"2007-04-27","Peru","13.97"
"2007-03-20","South Korea","28.95"
"2007-03-17","Kuwait","3.99"
"2007-04-08","Azerbaijan","6.99"
"2007-04-28","Ukraine","42.92"
"2007-02-20","Bulgaria","9.97"
"2007-04-30","Estonia","1.99"
"2007-04-27","Faroe Islands","2.99"
"2007-04-30","Lithuania","12.96"
"2007-04-08","China","117.63"
"2007-03-21","Vietnam","36.91"
"2007-04-26","Sweden","2.99"
"2007-03-20","Germany","30.94"
"2007-03-18","United States","137.61"
"2007-04-28","Liechtenstein","5.99"
"2007-04-12","Spain","4.99"
"2007-02-16","South Korea","9.98"
"2007-04-08","Bulgaria","18.97"
"2007-04-30","Nauru","6.98"
"2007-02-18","Pakistan","9.98"
"2007-02-20","Morocco","15.96"
"2007-04-10","North Korea","4.99"
"2007-04-07","United Arab Emirates","13.96"
"2007-04-28","Belarus","4.98"
"2007-04-30","Italy","56.84"
"2007-04-29","Italy","29.91"
"2007-04-10","France","6.98"
"2007-03-21","Virgin Islands, U.S.","12.97"
"2007-03-21","Pakistan","22.95"
"2007-02-17","Chile","7.98"
"2007-04-28","Malawi","5.99"
"2007-03-02","Ecuador","3.99"
"2007-03-23","Yemen","13.97"
"2007-04-27","Congo, The Democratic Republic of the","0.99"
"2007-04-30","Pakistan","40.91"
"2007-04-26","Ecuador","4.99"
"2007-04-11","India","194.50"
